timestamp	n_reports	n_success	pass_pct	n_fail	tierA	tierB	tierC	tierD	classes
2026-07-13T08:29:07	4851	4283	88.3	568	174	373	21	0	timeout:276,no_conformers:79,donor_H_atom_count:50,high_rmsd:28,geometry_or_fragment_change:23,string_mismatch_other:22,carborane_unsupported:21,EZ_bond_stereo:18,gen_exception_other:18,winding_flip:12,atom_stereo:8,encode_crash_other:3,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T08:59:43	5067	4485	88.5	582	177	381	24	0	timeout:284,no_conformers:79,donor_H_atom_count:53,high_rmsd:28,carborane_unsupported:24,geometry_or_fragment_change:23,string_mismatch_other:22,EZ_bond_stereo:18,gen_exception_other:18,winding_flip:12,atom_stereo:8,encode_crash_other:3,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T09:30:02	5229	4619	88.3	610	186	399	25	0	timeout:300,no_conformers:80,donor_H_atom_count:58,high_rmsd:28,carborane_unsupported:25,geometry_or_fragment_change:24,string_mismatch_other:22,gen_exception_other:19,EZ_bond_stereo:18,winding_flip:14,atom_stereo:8,encode_crash_other:4,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T10:01:11	5428	4800	88.4	628	192	410	25	1	timeout:310,no_conformers:80,donor_H_atom_count:60,high_rmsd:30,carborane_unsupported:25,geometry_or_fragment_change:24,string_mismatch_other:23,gen_exception_other:20,EZ_bond_stereo:19,winding_flip:14,atom_stereo:8,encode_crash_other:4,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,interrupted:1,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T10:32:10	5625	4969	88.3	656	199	430	27	0	timeout:324,no_conformers:84,donor_H_atom_count:64,high_rmsd:31,carborane_unsupported:27,geometry_or_fragment_change:24,string_mismatch_other:24,gen_exception_other:22,EZ_bond_stereo:19,winding_flip:14,atom_stereo:9,encode_crash_other:4,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T11:03:10	5847	5174	88.5	673	205	439	29	0	timeout:332,no_conformers:85,donor_H_atom_count:66,high_rmsd:34,carborane_unsupported:29,geometry_or_fragment_change:24,string_mismatch_other:24,gen_exception_other:22,EZ_bond_stereo:19,winding_flip:14,atom_stereo:9,encode_crash_other:5,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T11:34:12	6041	5347	88.5	694	211	452	31	0	timeout:341,no_conformers:87,donor_H_atom_count:70,high_rmsd:36,carborane_unsupported:31,geometry_or_fragment_change:24,gen_exception_other:24,string_mismatch_other:24,EZ_bond_stereo:19,winding_flip:14,atom_stereo:9,encode_crash_other:5,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T12:05:09	6259	5547	88.6	712	216	465	31	0	timeout:351,no_conformers:89,donor_H_atom_count:70,high_rmsd:37,carborane_unsupported:31,geometry_or_fragment_change:26,gen_exception_other:25,string_mismatch_other:25,EZ_bond_stereo:20,winding_flip:14,atom_stereo:9,encode_crash_other:5,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T12:36:11	6470	5736	88.7	734	222	481	31	0	timeout:364,no_conformers:92,donor_H_atom_count:72,high_rmsd:39,carborane_unsupported:31,geometry_or_fragment_change:26,string_mismatch_other:26,gen_exception_other:25,EZ_bond_stereo:21,winding_flip:14,atom_stereo:9,encode_crash_other:5,kekulize_encode_crash:3,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T13:07:08	6665	5907	88.6	758	228	496	34	0	timeout:373,no_conformers:98,donor_H_atom_count:74,high_rmsd:41,carborane_unsupported:34,geometry_or_fragment_change:27,string_mismatch_other:26,gen_exception_other:25,EZ_bond_stereo:21,winding_flip:14,atom_stereo:9,encode_crash_other:5,kekulize_encode_crash:4,garbled_aromatic:3,macrocycle_perception:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T13:38:07	6878	6101	88.7	777	232	510	34	1	timeout:383,no_conformers:98,donor_H_atom_count:75,high_rmsd:43,carborane_unsupported:34,gen_exception_other:29,geometry_or_fragment_change:27,string_mismatch_other:26,EZ_bond_stereo:21,winding_flip:14,atom_stereo:10,encode_crash_other:5,kekulize_encode_crash:4,garbled_aromatic:3,macrocycle_perception:2,interrupted:1,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T14:09:08	7076	6273	88.7	803	241	525	37	0	timeout:395,no_conformers:101,donor_H_atom_count:77,high_rmsd:45,carborane_unsupported:37,gen_exception_other:29,geometry_or_fragment_change:27,string_mismatch_other:27,EZ_bond_stereo:22,winding_flip:15,atom_stereo:10,encode_crash_other:5,kekulize_encode_crash:5,macrocycle_perception:3,garbled_aromatic:3,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T14:41:08	7273	6440	88.5	833	249	546	38	0	timeout:411,no_conformers:104,donor_H_atom_count:79,high_rmsd:47,carborane_unsupported:38,gen_exception_other:31,geometry_or_fragment_change:28,string_mismatch_other:27,EZ_bond_stereo:22,winding_flip:15,atom_stereo:10,encode_crash_other:5,kekulize_encode_crash:5,garbled_aromatic:4,macrocycle_perception:3,H_on_terminal_oxo_imido:2,geometry_NON:2
2026-07-13T15:12:07	7470	6610	88.5	860	258	562	40	0	timeout:421,no_conformers:108,donor_H_atom_count:82,high_rmsd:51,carborane_unsupported:40,gen_exception_other:33,geometry_or_fragment_change:29,string_mismatch_other:27,EZ_bond_stereo:22,winding_flip:15,atom_stereo:10,encode_crash_other:6,kekulize_encode_crash:5,garbled_aromatic:4,macrocycle_perception:3,H_on_terminal_oxo_imido:2,geometry_NON:2
2026-07-13T15:43:06	7684	6794	88.4	890	267	581	41	1	timeout:433,no_conformers:113,donor_H_atom_count:83,high_rmsd:52,carborane_unsupported:41,gen_exception_other:35,geometry_or_fragment_change:32,string_mismatch_other:28,EZ_bond_stereo:24,winding_flip:15,atom_stereo:11,encode_crash_other:6,kekulize_encode_crash:5,garbled_aromatic:4,macrocycle_perception:3,H_on_terminal_oxo_imido:2,geometry_NON:2,interrupted:1
2026-07-13T17:05:58	8204	7258	88.5	946	286	618	42	0	timeout:459,no_conformers:123,donor_H_atom_count:87,high_rmsd:57,carborane_unsupported:42,gen_exception_other:36,geometry_or_fragment_change:34,string_mismatch_other:30,EZ_bond_stereo:26,winding_flip:17,atom_stereo:12,encode_crash_other:7,kekulize_encode_crash:5,garbled_aromatic:4,macrocycle_perception:3,H_on_terminal_oxo_imido:2,geometry_NON:2
2026-07-13T17:37:06	8435	7469	88.5	966	290	633	43	0	timeout:469,no_conformers:127,donor_H_atom_count:90,high_rmsd:57,carborane_unsupported:43,gen_exception_other:37,geometry_or_fragment_change:34,string_mismatch_other:30,EZ_bond_stereo:27,winding_flip:17,atom_stereo:12,encode_crash_other:7,kekulize_encode_crash:5,garbled_aromatic:4,macrocycle_perception:3,H_on_terminal_oxo_imido:2,geometry_NON:2
2026-07-13T18:08:07	8649	7662	88.6	987	297	646	43	1	timeout:477,no_conformers:132,donor_H_atom_count:92,high_rmsd:58,carborane_unsupported:43,gen_exception_other:37,geometry_or_fragment_change:35,string_mismatch_other:31,EZ_bond_stereo:28,winding_flip:17,atom_stereo:12,encode_crash_other:7,kekulize_encode_crash:5,macrocycle_perception:4,garbled_aromatic:4,H_on_terminal_oxo_imido:2,geometry_NON:2,interrupted:1
