Rh-Single-Chiral-Phosphine	dac399a94166842726d6e6076da8aa33b3df22a55051c1b99799e76717fd3a6c	62	-
RhF7	5f53161c0ef7a84781dc15d91c8fc1619a183d4594cd2e0daab60c823f877a46	57	-
TiCat1	6e8423c97e1f8cdf923deaf2919896186a90248d9fde5f8db0f16598c3258f86	107	eta
TiCat2	e5a71227ff2788db36c089988e3d906fbea8229418fcd3f95c9298a3310604d0	84	eta
TiCat3	6e675efcf07fc9bf9d9e4ee7c6a706663b1af92560dc980060e4efa575f351cf	107	eta
TiCat4	c8adc3fe5894132c56729be6eef62174a5d6d9a23a6e1f4e4d769c9da4ca8384	107	eta
TiCat5	6015994fa3ebc01c9091cadb9887d3da9c2f5e37a16b4b8c6f17a99296490ea2	107	eta
TiCat6	c8adc3fe5894132c56729be6eef62174a5d6d9a23a6e1f4e4d769c9da4ca8384	107	eta
TiCl4	1ac2c834e56dfdffb6e3509013efe0186e1441253b441453b7c5b24917f6558d	40	-
TiCp2Me2	4fbba2e3d22cd0eacaf98341d9df1aadd76ae669e9c592548e048651eb548835	104	eta
TransPlatin	20795f7dbf39d9583b9ba4e325d3b7e918ed1503f230d90fdc4b0a38dc563719	34	-
ULODUU_comp_0	3651a1319235494a76010de8d32298f8019b3c411f45cb3379756b4738a99701	192	eta
VEJXOZ_comp_0	6e4d79000691849d4587b055e50797e44662f8ca53c997b9159a839b22ca0e37	148	eta
VOacac2	8d6af14b48105669fb7e06a74991370f894e8ab187b1bb01af5a792765d3d67f	52	-
YESKOZ	022683955ede4e06728e74e81cfe1d6957daa84b2c6e16c0db311246fbd79832	99	-
ZUMNEC	4301e46fee7c4550e238eed69cdc1eba6f1c14268d6a2c08f4609b1c29a80376	59	-
Zeises_salt	5794691fa49d32c5d04e130a40a84ba73ee6dd8ff457c3e0aab645b66f05b0b7	51	eta
fac-Ir(ppy)3	2dd786c5fd8044661c1f4fd515f411041824496a8ef3484b9c4374fc7608528e	80	-
mer-Ir(ppy)3	912f83d9ab858ba1c9192b3643c27852c638602d2f6873909742153d13024a5d	80	-
ticat3_generated_broken	f42608a64ce4c83ff0d7a74363bc487937e29a20188797909f96a62d70aa4896	156	eta
# molecules=62 fixtures_dir=/home/tjmustard/Documents/GitHub/OIN-SMILES/tests/fixtures
# MANIFEST_SHA256=6c2417e16b2ebb98a8414ccf66b747f8c88648ce6701c59372d193b09817ffd1
#DONE 62
