CIMFUA_comp_0	feaa7d1d4c10ce54b6fa1743e3cda745e4784f2e27a67fafcb30d4359ff330a6	feaa7d1d4c10ce54b6fa1743e3cda745e4784f2e27a67fafcb30d4359ff330a6	75	75	-	fast	byte->byte
CISDUF_comp_0	e6737a058ef268b2d7aa3607cefe0815d6d0c9f4076d89a07b9767ccc88d4e43	e6737a058ef268b2d7aa3607cefe0815d6d0c9f4076d89a07b9767ccc88d4e43	116	116	eta	b60_300	byte->byte
COJJOD_comp_0	8b4ac09aa014e19f191c083f5fe5701b0d442f3c1a22b2bc418ce564628d9858	8b4ac09aa014e19f191c083f5fe5701b0d442f3c1a22b2bc418ce564628d9858	108	108	-	b300_plus	no_structure
COTTAJ_comp_0	0fd8782743f9a241d83b9e2ae1aa03346e9007432623d91dcc82d6b6fae9105d	0fd8782743f9a241d83b9e2ae1aa03346e9007432623d91dcc82d6b6fae9105d	93	93	eta	fast	byte->key
DEMSOG_comp_0	352edb51d66f198d1e80b2e74fef50c5a13dc107ffdfd8d13e39801b031dc9db	352edb51d66f198d1e80b2e74fef50c5a13dc107ffdfd8d13e39801b031dc9db	184	184	-	b60_300	byte->FAIL
DEVFUG_comp_0	3c31f5bcec61a5a59eba8ec46036ba7fd75de3efe46cf541599f91a3125d8205	6e6f5c42410e5eeb27fa7cf9a4a776ce54b8c7c855e88525e9bf3fc1f21faf58	115	115	-	fast	key->key
DIDDIF_comp_0	efccd71fa52c41fdfb047c28b6c69b8bbcbc7e5bf17221a512bee48f7db41de2	efccd71fa52c41fdfb047c28b6c69b8bbcbc7e5bf17221a512bee48f7db41de2	78	78	-	fast	byte->byte
DIMCUX_comp_0	303a21e1b88031e16bec1e0c527e7337f5b1c9cc92ca7a740f6667286a23c0f9	303a21e1b88031e16bec1e0c527e7337f5b1c9cc92ca7a740f6667286a23c0f9	68	68	eta	fast	byte->byte
DOBQAN_comp_1	b818020a159b72bdbb052a4ed347ec507645d736bcfe0450d7996029f3dc1cde	b818020a159b72bdbb052a4ed347ec507645d736bcfe0450d7996029f3dc1cde	97	97	eta	fast	key->byte
EBUGEO_comp_0	c410ea86aacaf2728da89335861b510620c3ae8997fdb6bd88b351f5034eed75	c410ea86aacaf2728da89335861b510620c3ae8997fdb6bd88b351f5034eed75	92	92	eta	b30_60	byte->key
ECIGAZ_comp_0	d9f811996289eb3d7006bc519219687f4293210cba18c97c50735022e0fb77e5	NO_STRUCTURE@300s	96	-	-	b300_plus	no_structure
EFUPUS_comp_0	523fa0fb095b687a8f23283f0943615f8d8cf2946aa07fc24ca2eb48bda6b6cd	523fa0fb095b687a8f23283f0943615f8d8cf2946aa07fc24ca2eb48bda6b6cd	138	138	eta	b60_300	key->byte
EHOTEA_comp_0	084103c21d6e97d484f602a695d3d3bc08f77b273df1fe6545b630cf4356ecbc	084103c21d6e97d484f602a695d3d3bc08f77b273df1fe6545b630cf4356ecbc	104	104	-	fast	byte->byte
EHUDES_comp_0	2f5e794fc9ad4c74e3039c37861228a3cdbf9651c2a5179c2234aec5fe3ca8f6	2f5e794fc9ad4c74e3039c37861228a3cdbf9651c2a5179c2234aec5fe3ca8f6	64	64	-	fast	byte->byte
EJUCUH_comp_0	21cdffa64a259c8a104461a450ca34f7169e5b9a2f66c038fb9b331dcfbec2d5	21cdffa64a259c8a104461a450ca34f7169e5b9a2f66c038fb9b331dcfbec2d5	79	79	-	fast	byte->byte
EPOLOL_comp_0	63d054ed3f939a19e6ad85ac1f9b970e651b6c78790ecbcd069d66bc5ab192ab	63d054ed3f939a19e6ad85ac1f9b970e651b6c78790ecbcd069d66bc5ab192ab	82	82	-	b30_60	key->byte
EQEROI_comp_0	105908e3fef5d5c6af47228a87dfdac3dc8e77442607963fdbf2165a10eda547	NO_STRUCTURE@300s	137	-	eta	b300_plus	no_structure
EQOKOL_comp_0	2e6d7b8cb735291a5fad35d981614d58bb7487caac3809f26d61ad26e88c80e1	2e6d7b8cb735291a5fad35d981614d58bb7487caac3809f26d61ad26e88c80e1	85	85	eta	fast	byte->key
ERATIA_comp_0	60cfcceb480cdb3a3ff42627c7d788db89c112311386c48afcb9d51116740486	60cfcceb480cdb3a3ff42627c7d788db89c112311386c48afcb9d51116740486	116	116	-	b60_300	byte->FAIL
ESOCEW_comp_0	e076fd0370ff8a3c78d06d86afb566ff2e144cc08a2494d7384650343fe383b1	e076fd0370ff8a3c78d06d86afb566ff2e144cc08a2494d7384650343fe383b1	79	79	-	fast	byte->byte
EZUROH_comp_0	3e0571e6388d6790547ca5ce60f3f010519f76649f40a90909db4a95185aada0	3e0571e6388d6790547ca5ce60f3f010519f76649f40a90909db4a95185aada0	102	102	-	b60_300	byte->FAIL
FENQAQ_comp_0	54ca61621b16de63c6c2a99317addfc1fdbec0a65c012c3c17dfedeeed687220	54ca61621b16de63c6c2a99317addfc1fdbec0a65c012c3c17dfedeeed687220	106	106	eta	b30_60	byte->FAIL
FEPZIK_comp_0	d929e6c91d0757f74b2b68f86847f9d6c99d52cfcb60d6c536372d326b9d17e4	d929e6c91d0757f74b2b68f86847f9d6c99d52cfcb60d6c536372d326b9d17e4	79	79	eta	b30_60	byte->FAIL
FIBQAK_comp_0	bc5599403843f258444ab7c232fd2ead8fe1ba2c9561b9da05cb27ba108e8d8b	bc5599403843f258444ab7c232fd2ead8fe1ba2c9561b9da05cb27ba108e8d8b	116	116	eta	b60_300	byte->FAIL
FIJPEW_comp_0	928b4a7a9459bc2ee7f8e45b78b40b9fc9ee614601bdca8a7c8a675bdeb5ac2b	928b4a7a9459bc2ee7f8e45b78b40b9fc9ee614601bdca8a7c8a675bdeb5ac2b	75	75	-	fast	byte->byte
FIMMUK_comp_0	778190dd9f418f530be17018479cfcb1cf2e147ac4563d88fb5236aa0b7f9501	778190dd9f418f530be17018479cfcb1cf2e147ac4563d88fb5236aa0b7f9501	143	143	-	b60_300	key->byte
FOGPIB_comp_0	66a15d3d7c9afaf46917349dda924c037585c2c17b64d0e1024fc12030c359f9	66a15d3d7c9afaf46917349dda924c037585c2c17b64d0e1024fc12030c359f9	84	84	eta	fast	byte->byte
FOHFIT_comp_0	f33eee74ffd7993095e588d0ed8979f1452ef6c17b52a1beb59eeb3c393c1fbc	f33eee74ffd7993095e588d0ed8979f1452ef6c17b52a1beb59eeb3c393c1fbc	88	88	eta	b60_300	byte->FAIL
